SISID,Count Location,Day,Date,Temperature,Weather,Start Time,End Time,Duration,Travel Lanes,Parking,Speed limit,Bike Lanes,On Sidewalk,On Path/Trail,With Helmet,No Helmet,Male,Female,Peak Hour,CaBi Bikes,Total
21534275,Benning Bridge,Tuesday,7/7/2015,0,,6:00,10:00,4,0,0,25,No,30,0,26,48,66,8,25,0,74
22473010,Columbus Cir,Tuesday,7/28/2015,,,15:00,19:00,4,8,0,25,Yes,158,0,335,214,367,182,217,,549
22473010,Columbus Cir,Tuesday,7/28/2015,,,6:00,10:00,4,8,0,25,Yes,46,0,283,111,297,97,181,,394
23861060,G St,Wednesday,7/22/2015,0,,6:00,10:00,4,2,2,25,Yes,1,0,41,25,42,24,32,,66
23861060,G St,Wednesday,7/22/2015,0,,15:00,19:00,4,2,2,25,Yes,7,0,50,56,66,40,49,0,106
24244060,H St,Tuesday,8/18/2015,0,,15:00,19:00,4,0,,25,No,43,0,12,64,64,12,28,0,76
24244060,H St,Tuesday,8/18/2015,0,,6:00,10:00,4,0,,25,No,16,0,12,22,30,4,12,0,34
24777060,I St,Wednesday,7/22/2015,0,,15:00,19:00,4,0,,25,Yes,17,0,60,92,104,48,62,52,152
24777060,I St,Wednesday,7/22/2015,0,,6:00,10:00,4,0,,25,Yes,3,0,64,60,77,47,55,32,124
25713000,Louisiana Ave,Thursday,8/13/2015,0,,6:00,10:00,4,0,,25,No,44,0,136,55,144,47,69,0,191
25713000,Louisiana Ave,Thursday,8/13/2015,0,,15:00,19:00,4,0,,25,No,92,0,168,71,169,70,86,0,239
25785010,M St,Wednesday,7/22/2015,0,,6:00,10:00,4,2,,25,Yes,87,0,229,118,245,102,167,0,347
25785010,M St,Wednesday,7/22/2015,0,,15:00,19:00,4,2,,25,Yes,90,0,255,162,305,112,181,0,417
40040070,4th St,Tuesday,7/28/2015,0,,15:00,19:00,4,0,,25,0,3,0,119,93,171,41,90,0,212
40040070,4th St,Tuesday,7/28/2015,0,,6:00,10:00,4,0,,25,0,9,0,134,70,158,46,85,0,204
40040140,4th St,Tuesday,7/28/2015,0,,15:00,19:00,4,2,,25,No,15,0,58,26,63,21,34,,84
40040140,4th St,Tuesday,7/28/2015,0,,6:00,10:00,4,2,,25,No,5,0,64,21,66,19,34,,85
49641000,George Mason Brg (14th St Bridge),Wednesday,8/12/2015,,,6:00,10:00,4,5,0,30,No,976,0,920,56,788,188,336,12,976
49641000,George Mason Brg (14th St Bridge),Wednesday,8/12/2015,,,15:00,19:00,4,6,0,30,No,1091,0,988,103,869,222,450,20,1091
49721015,Arlington Memorial Bridge,Wednesday,8/15/2015,0,,15:00,19:00,4,4,0,,No,549,0,412,152,438,126,249,48,564
49721015,Arlington Memorial Bridge,Wednesday,8/12/2015,0,,6:00,10:00,4,4,0,25,No,530,0,469,66,405,130,240,50,535
53191050,East Capitol St,Tuesday,7/7/2015,0,,6:00,10:00,4,2,1,25,Yes,5,0,299,89,238,150,180,0,388
53191050,East Capitol St,Tuesday,7/7/2015,0,,15:00,19:00,4,2,1,25,Yes,10,0,242,81,212,111,141,0,323
