X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-76.992647274611087,38.900209161460957,6782,{AFEB947F-8CCA-41DA-80B1-3C942D7F3A61},6782,Accessibility Issue,2015-09-04T21:13:23.000Z,Unassigned,6306,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-76.992647246644594,38.884806815848123,2672,{1537C722-98EA-44D1-8024-812B82EF4A1D},2672,Other Driving Issue,2015-07-15T18:18:41.000Z,Unassigned,7478,"This intersection isnt a 4 way stop but is FREQUENTLY confused for one, which causes dangerous situations.",Car Driver
-77.046871110669329,38.903757992637999,696,{CEFFC12D-98BD-4BBB-AE76-55DDD13CE7EC},696,Other Biking Issue,2015-07-01T17:48:26.000Z,Unassigned,1341,"The entire L St bike lane is a disaster because it is on the left side of the road. It leads to conflicts with drivers at every intersection. Furthermore, many drivers park in the bike lane.",Biker
-77.012164917848992,38.910387735409607,4212,{2F4EB22C-EF34-4797-B513-2555F87A128F},4212,Cyclist behavior,2015-07-31T00:18:58.000Z,Unassigned,8399,"This is a major N/S route for cyclists. Because of aggressive speeding drivers and traffic backed up, often cyclists are forced up onto the sidewalk. Please take out the parking lane and add a separated cycle path.",Pedestrian
-77.041693485189654,38.902891367739919,3258,{0984887A-AA64-4E3E-97A8-0174DD886CD4},3258,Other Biking Issue,2015-07-17T16:57:17.000Z,Unassigned,56,"The road surface here is an embarrassment.  And also unsafe for cyclists, who have to dodge potholes while car drivers are aggressively passing them.  And why are there no bike facilities on a 4 lane road?",Car Driver
-76.991527882580925,38.900207813684709,6783,{F83D9B3D-AE62-413D-AECB-5B6A6988BA00},6783,Accessibility Issue,2015-09-04T21:13:38.000Z,Unassigned,12001,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-77.007925571256024,38.951779022537622,697,{A5950408-2A34-42B8-A801-606E1E1F19BF},697,Poor visibility,2015-07-01T17:48:58.000Z,Unassigned,13274,"Please close this street access to Fort Totten Dr NE. Cars use this cut through to access Fort Totten Dr NE at biker/driver expense already on street. Cars cannot see bikes/cars/peds on street and pull out blindly, causing many near misses.",Biker
-77.034596098161728,38.901421314192319,2689,{F1B767B9-BF23-45E2-B867-E0EC9057E865},2689,Other Biking Issue,2015-07-15T18:27:29.000Z,Unassigned,7180,Cars dont yield to cyclists at this intersection before turning right onto Eye Street. This is terrifying sometimes.,Biker
-76.990242484958983,38.900208614254687,6784,{1DDD70A3-162F-484E-96B7-20FC65F6F5B6},6784,Accessibility Issue,2015-09-04T21:13:51.000Z,Unassigned,2224,Need to add vibrating crosswalk signal button for the DeafBlind and Blind pedestrians on BOTH SIDES of the street at EVERY CORNER plus add bumps on sidewalk ramp to indicate end of sidewalk for DeafBlind and Blind.  THANK YOU.,Pedestrian
-77.01990151379718,38.965882916509699,4225,{097D3C82-2EC6-49B3-84CF-7B61F73BC1C9},4225,Red light running,2015-07-31T02:10:01.000Z,Unassigned,2333,I am both a driver and a pedestrian at this intersection and believe it needs some serious traffic calming to make it safer for everyone!,Pedestrian
